branch	sha
experiment/eval-rekey-bypass-v63	15b6ded71ee2b5bddba9d1c988b803c23b7a249a
experiment/eval-route-census-v64	e4f01dd69f54960f0daae2f779ab040453d5d094
experiment/force-operational-basin-census-v11	3473db0d82596e08660127e42e12d6d209c48263
experiment/force-pi-basin-collapse-v8	6269db17af37f7ef8881f453191251abbe09ecda
experiment/framed-two-slot-prune-v24	829037079323ba01a879506a06d1022b86aa573f
experiment/full-corpus-tournament-v93	b89fa9c3798e2bd69233095fb30a08256b9d7322
experiment/full-state-selector-v119	bd7a93650cf546118fef436d27c73f56ac1e0284
experiment/gap2-pair-band-jump	bb38accca82000d94a1cd60b53ad7b63f1c78017
experiment/gap2-pair-census-lite	f1af5a154152fdf4b80ebeacf582be7fa1a1bb54
experiment/gap2-unified-workflow	1430a77a01085e688c9deb0d81c4521e2ed3aba6
experiment/gold-sniff-transfer-v68	e4c20ae3b76d3b5e88f320e66b2d08c7a31f9919
experiment/hybrid-relevance-v104	0392871ef6ac965cb2229ddaf9d037453e52767c
experiment/incremental-ai-loop	88cc2415104a3607c68d51e2890bcdd10cac3395
experiment/interaction-map-v121	a40b7f5e77366c051ae21cde05747fc2f0d8e08b
experiment/iota-descend-fire-separator-v12	1f058dbb6ae8811d19988c471cd6775268dc64d0
experiment/iota-transfer-full-gate-v69	bcec21fec40ccd0080e0978e3d1018f56d66565f
experiment/key-env-proposal-portfolio-v16	04bfe9ce8d971049c70b06e24c328dd81ba93c8e
experiment/law-first-defeq-reflexivity	91026a315beed4156aae43fd23cf56173f570453
experiment/lazy-framed-subprojection-v23	a88f31c19f58520080d71e3186627fd91ca4c4e3
experiment/lean-grow-dissolve-search-v1	6ff526c04de2554d827bafe1803f9bffcb8cc810
experiment/lean-grow-dissolve-search-v1b	5959684bb88a3c97823aebae9412568041746e7f
experiment/lean-perf-counter-probe-v1c	ae1a1151b2a71430a05eb46c8732160c8cbf654f
experiment/llm-semantic-join-test2b	9dadda136236503c2ed5fee26fd4680c97881fe7
experiment/memory-caller-attribution-v84	b0afa1bb4958ab688d5190fb7243e80ffda6ccf5
experiment/minimal-interaction-v122	4f411082d5859d055969e8d25d9e668949741cc9
experiment/msi-bounded-optimizer-v85	a75bad783b3a5e4d76c8db7fb8165269f7bb99df
experiment/msi-broad-cpu-profile-v83	de185418da916dda4605e23a62f34b1e3fb6af99
experiment/msi-cached-pi-v82	ae4ff5c09eb364bee25d5567361074a25c9c7de6
experiment/msi-caller-context-v74	41103bec18735a5050a54575de0844179154965d
experiment/msi-caller-factorial-v75	b072742d50eade84131408997dced1b6e56d0a9f
experiment/msi-causal-loop-v72	a1d1ce87c75f5a0ffeca56f49750fcfda4f89e41
experiment/msi-code-layout-causality-v80	6b10d25fca92961fb0751a7815c441a5cb06be97
